Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App.,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
,Cancelled,Special Event,Athletic,Run/Walk,NAACP Run Your Race,S14SE009,09/20/2014 12:00:00 AM,09/20/2014 12:00:00 AM,,Central District,,,Seatttle King County NAACP,500
,Complete,Special Event,Community,,San Gennaro Festival,S14SE136,09/05/2014 12:00:00 AM,09/07/2014 12:00:00 AM,,Georgetown,,,San Gennaro Foundation,1950
,Complete,Special Event,Community,,NEPO 5K Don't Run,S14SE163,09/06/2014 12:00:00 AM,09/06/2014 12:00:00 AM,Hing Hay Park,International District,,,NEPO House,900
,Complete,Special Event,Commercial,,Fremont Oktoberfest,S14SE172,09/19/2014 12:00:00 AM,09/21/2014 12:00:00 AM,,Fremont,,,Fremont Chamber of Commerce,16450
,Complete,Special Event,Athletic,Run/Walk,Fremont Oktoberfest 5K Run,S14SE173,09/21/2014 12:00:00 AM,09/21/2014 12:00:00 AM,Burke Gilman Trail,Fremont,,,Bold Hat Productions,1230
,Complete,Special Event,Community,,Night Market and Moon Festival,S14SE182,09/13/2014 12:00:00 AM,09/13/2014 12:00:00 AM,,International District,,,Chinatown-ID BIA,9030
,Complete,Special Event,Community,,Out to Lunch Summer Concert Series,S14SE188,09/03/2014 12:00:00 AM,09/03/2014 12:00:00 AM,Bell Street Park,Belltown,,,Metropolitan Improvement Distrit,215
,Complete,Special Event,Community,,NFL Kickoff,S14SE189,09/03/2014 12:00:00 AM,09/04/2014 12:00:00 AM,Occidental Park,Pioneer Square,,,National Football League,35000
,Complete,Special Event,Athletic,Run/Walk,NFL Kickoff Run,S14SE200,09/01/2014 12:00:00 AM,09/01/2014 12:00:00 AM,,Sodo,,,"Easy Day Sports, LLC",6000
,Cancelled,Special Event,Community,,Out to Lunch Summer Concert Series (9.3),S14SE207,09/03/2014 12:00:00 AM,09/03/2014 12:00:00 AM,OTHER,Belltown,,,Metropolitan Improvement District,215
