application_date,permit_status,permit_type,event_category,event_sub_category,name_of_event,year_month_app,event_start_date,event_end_date,event_location_park,event_location_neighborhood,council_district,precinct,organization,attendance
12/09/2015 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,See Jane Run Women's Half Marathon and 5K,S16JY044,07/10/2016 12:00:00 AM,07/10/2016 12:00:00 AM,Gas Works Park,Multiple Neighborhoods,3,North,See Jane Run,4500.0
01/07/2016 12:00:00 AM,Complete,Special Event,Commercial,,Capitol Hill Block Party,S16JY046,07/22/2016 12:00:00 AM,07/24/2016 12:00:00 AM,,Capitol Hill,3,East,Independent Event Solutions,27000.0
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (7.09),S16JY074,07/09/2016 12:00:00 AM,07/09/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705.0
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (7.13),S16JY075,07/13/2016 12:00:00 AM,07/13/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705.0
01/21/2016 12:00:00 AM,Complete,Special Event,Community,,Sounders FC March to the Match (7.31),S16JY076,07/31/2016 12:00:00 AM,07/31/2016 12:00:00 AM,,Pioneer Square,3,West,Seattle Sounders FC,705.0
02/01/2016 12:00:00 AM,Complete,Special Event,Community,,West Seattle Grand Parade,S16JY098,07/23/2016 12:00:00 AM,07/23/2016 12:00:00 AM,,West Seattle,1,West,Rotary Foundation of West Seattle,3500.0
02/02/2016 12:00:00 AM,Complete,Special Event,Athletic,Other,The Four-Twenty Games Seattle,S16JY106,07/31/2016 12:00:00 AM,07/31/2016 12:00:00 AM,Magnuson Park,Sand Point,4,North,The Four-Twenty Games,600.0
02/16/2016 12:00:00 AM,Complete,Special Event,Community,,Wallingford Family Parade,S16JY112,07/09/2016 12:00:00 AM,07/09/2016 12:00:00 AM,,Wallingford,4,North,Wallingford Chamber of Commerce,1525.0
02/08/2016 12:00:00 AM,Complete,Special Event,Community,,Wedgwood Art Festival,S16JY113,07/09/2016 12:00:00 AM,07/10/2016 12:00:00 AM,,Wedgwood,5,North,"Strazzanti Enterprisies, LLC",4148.0
02/11/2016 12:00:00 AM,Cancelled,Special Event,Athletic,Other,Bat 'N' Rouge,S16JY123,07/24/2016 12:00:00 AM,07/24/2016 12:00:00 AM,,Capitol Hill,3,East,Seattle Area Support Groups,330.0
02/22/2016 12:00:00 AM,Complete,Special Event,Community,,Greenwood Seafair Parade,S16JY149,07/27/2016 12:00:00 AM,07/27/2016 12:00:00 AM,,Greenwood,6,North,Phinney Neighborhood Assn,4500.0
03/01/2016 12:00:00 AM,Complete,Special Event,Commercial,,Uwajimaya Natsu Matsuri Summer Food Festival,S16JY153,07/09/2016 12:00:00 AM,07/10/2016 12:00:00 AM,,International District,2,West,Uwajimaya Grocery Store,595.0
03/08/2016 12:00:00 AM,Complete,Special Event,Community,,Bite of Seattle (Street Use/No Parking),S16JY165,07/11/2016 12:00:00 AM,07/18/2016 12:00:00 AM,,Queen Anne,4,West,Festivals Inc,1150.0
03/10/2016 12:00:00 AM,Complete,Special Event,Community,,FREE Bike Party,S16JY166,07/03/2016 12:00:00 AM,07/03/2016 12:00:00 AM,,Ballard,6,North,"Seattle Bike Blog, LLC",770.0
03/16/2016 12:00:00 AM,Complete,Special Event,Community,,Bon Odori Festival,S16JY180,07/16/2016 12:00:00 AM,07/17/2016 12:00:00 AM,,International District,2,West,Seattle Buddhist Church,4900.0
03/18/2016 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Goodwill Refuse to Abuse 5K at Safeco Field,S16JY191,07/09/2016 12:00:00 AM,07/09/2016 12:00:00 AM,,Sodo,2,South,Washington State Coalition Against Domestic Violence,2000.0
03/22/2016 12:00:00 AM,Complete,Special Event,Community,,Alki Art Fair,S16JY199,07/23/2016 12:00:00 AM,07/24/2016 12:00:00 AM,,West Seattle,1,West,Alki Art Fair,8180.0
03/28/2016 12:00:00 AM,Complete,Special Event,Community,,Go Klondike Legacy Day 2016,S16JY209,07/17/2016 12:00:00 AM,07/17/2016 12:00:00 AM,,Pioneer Square,7,South,"Friends of the Klondike Corridor, Inc.",820.0
03/30/2016 12:00:00 AM,Complete,Special Event,Community,,Lake Union Wooden Boat Festival,S16JY218,07/02/2016 12:00:00 AM,07/04/2016 12:00:00 AM,,South Lake Union,3,West,The Center for Wooden Boats,9750.0
03/31/2016 12:00:00 AM,Complete,Special Event,Community,,Craig Wilson Queen Anne Days,S16JY221,07/09/2016 12:00:00 AM,07/09/2016 12:00:00 AM,,Queen Anne,4,West,The Queen AnneCamber of Commerce,530.0
